alpha3,name,country_code,year,fb,pop,fb_share,refugee,disp,imm,disp_share
DNK,Denmark,208,2015,595876,5688695,10.47473981290964,42260,241942,595876,0.042530316707083085
DNK,Denmark,208,2019,722878,5771876,12.524142930305501,39937,255665,722878,0.04429495713352123
EST,Estonia,233,1990,381997,1565246,24.404917821224267,NA,113905,381997,0.07277130879107821
EST,Estonia,233,1995,315755,1433024,22.03417388682953,1,129640,315755,0.09046603546067616
EST,Estonia,233,2000,249512,1399112,17.833597310293957,2,141883,249512,0.10140932248454734
EST,Estonia,233,2005,233701,1355648,17.23906205740723,21,150427,233701,0.11096317038051176
EST,Estonia,233,2010,217890,1332101,16.356867835096587,39,160489,217890,0.12047810188566783
EST,Estonia,233,2015,194664,1315325,14.799688289966358,254,195154,194664,0.14836941440328436
EST,Estonia,233,2019,190242,1325648,14.35086840548924,455,208270,190242,0.1571080709207874
FRO,Faroe Islands,234,1990,4285,47274,9.064179041333503,0,7520,4285,0.15907264035199054
FRO,Faroe Islands,234,1995,2900,45625,6.3561643835616435,0,10005,2900,0.2192876712328767
FRO,Faroe Islands,234,2000,3593,46735,7.688028244356478,0,12412,3593,0.265582539852359
FRO,Faroe Islands,234,2005,4583,47722,9.603537152675916,0,12547,4583,0.26291857005154856
FRO,Faroe Islands,234,2010,5096,47814,10.657966286025014,0,12736,5096,0.2663654996444556
FRO,Faroe Islands,234,2015,5485,48051,11.414954943705645,0,14777,5485,0.3075274187842085
FRO,Faroe Islands,234,2019,6454,48678,13.258556226632155,0,13838,6454,0.2842762644315707
FIN,Finland,246,1990,63255,4996222,1.266056632391435,2174,250765,63255,0.05019092426237265
FIN,Finland,246,1995,99729,5119005,1.9482106385908982,7624,288821,99729,0.056421316251888794
FIN,Finland,246,2000,136203,5187954,2.6253702326581925,13073,316039,136203,0.06091784931015194
FIN,Finland,246,2005,192169,5258927,3.6541484603228,10899,302908,192169,0.057598821965013015
FIN,Finland,246,2010,228481,5365782,4.258111865148454,8724,290411,228481,0.054122772785029284
FIN,Finland,246,2015,314856,5481122,5.744371316675673,37069,288914,314856,0.052710740611137646
FIN,Finland,246,2019,383116,5532156,6.925256626891938,23955,290042,383116,0.05242838415981039
ISL,Iceland,352,1990,9584,255043,3.7577977047007756,43,17621,9584,0.0690903102614069
ISL,Iceland,352,1995,12738,267629,4.759573887732644,146,21450,12738,0.08014826494886577
ISL,Iceland,352,2000,15892,280435,5.6669103357284225,249,26184,15892,0.09336922994633337
ISL,Iceland,352,2005,25492,294979,8.641971123368105,166,28804,25492,0.09764762915326176
